airline,flightnumber,departureairport,arrivalairport,origindate,operationtime,departureorarrival,aircraftterminal,status,aircrafttype
AH,6226,ALG,HME,2024-12-03,2024-12-03T19:55:00Z,Departure,1,SCT,AT7
AH,6106,ALG,ORN,2024-12-03,2024-12-03T20:45:00Z,Departure,1,SCT,738
TU,375,ALG,TUN,2024-12-04,2024-12-04T14:40:00Z,Departure,4,SCT,32L
AH,6059,GJL,ALG,2024-12-03,2024-12-03T18:43:00Z,Arrival,1,ONB,AT7
AH,6181,ORN,ALG,2024-12-04,2024-12-04T10:20:00Z,Arrival,1,SCT,AT7
AH,6148,TIN,ALG,2024-12-04,2024-12-04T05:00:00Z,Arrival,1,SCT,736
AH,6160,ALG,TMX,2024-12-03,2024-12-03T23:10:00Z,Departure,1,SCT,736
AH,6150,CBH,ALG,2024-12-04,2024-12-04T02:00:00Z,Arrival,1,SCT,736
TO,7314,SXB,ALG,2024-12-04,2024-12-04T16:30:00Z,Arrival,4,SCT,73H
AH,2004,ALG,ALC,2024-12-04,2024-12-04T12:00:00Z,Departure,4,SCT,738
AH,3001,SVO,ALG,2024-12-04,2024-12-04T07:44:00Z,Arrival,4,ONB,738
BA,2816,LGW,ALG,2024-12-04,2024-12-04T12:33:00Z,Arrival,4,SCT,320
AH,3018,ALG,IST,2024-12-03,2024-12-03T22:10:00Z,Departure,4,SCT,332
AH,1012,ALG,CDG,2024-12-04,2024-12-04T16:40:00Z,Departure,4,SCT,320
SF,1703,HME,ALG,2024-12-03,2024-12-03T19:29:00Z,Arrival,1,LAN,DH4
AF,1854,CDG,ALG,2024-12-04,2024-12-04T13:10:00Z,Arrival,4,SCT,32A
AH,6289,TMR,ALG,2024-12-04,2024-12-04T11:25:00Z,Arrival,1,SCT,736
AH,6177,AAE,ALG,2024-12-04,2024-12-04T14:50:00Z,Arrival,1,SCT,AT7
AF,1854,CDG,ALG,2024-12-04,2024-12-04T13:00:00Z,Arrival,4,LAN,32A
SF,1854,ALG,TMR,2024-12-04,2024-12-04T08:00:00Z,Departure,1,OFB,DH4
AH,1214,ALG,CDG,2024-12-04,2024-12-04T13:15:00Z,Departure,4,SCT,736
AH,1004,ALG,ORY,2024-12-04,2024-12-04T12:00:00Z,Departure,4,SCT,330
VY,7990,ALG,MRS,2024-12-04,2024-12-04T11:20:00Z,Departure,4,OFB,320
AH,6146,ALG,TIN,2024-12-04,2024-12-04T23:55:00Z,Departure,1,SCT,738
AH,5641,COO,ALG,2024-12-03,2024-12-03T19:34:00Z,Arrival,0,ONB,738
AH,6471,GHA,ALG,2024-12-03,2024-12-03T18:20:00Z,Arrival,1,SCT,AT7
AH,6146,ALG,TIN,2024-12-04,2024-12-04T23:55:00Z,Departure,1,SCT,738
AH,6146,ALG,TIN,2024-12-04,2024-12-04T23:55:00Z,Departure,1,SCT,738
TK,656,ALG,IST,2024-12-04,2024-12-04T23:55:00Z,Departure,4,SCT,32R
SF,1120,ALG,HME,2024-12-04,2024-12-04T09:30:00Z,Departure,1,SCT,738
AH,6253,ELU,ALG,2024-12-04,2024-12-04T15:40:00Z,Arrival,1,SCT,736
AH,4079,DOH,ALG,2024-12-03,2024-12-03T15:27:00Z,Arrival,4,ONB,330
SF,1908,ALG,HME,2024-12-04,2024-12-04T18:00:00Z,Departure,1,SCT,738
TO,7314,SXB,ALG,2024-12-04,2024-12-04T16:30:00Z,Arrival,4,SCT,73H
AH,6200,ALG,GHA,2024-12-04,2024-12-04T18:45:00Z,Departure,1,SCT,AT7
AH,1008,ALG,ORY,2024-12-04,2024-12-04T18:35:00Z,Departure,4,SCT,738
AH,6222,ALG,HME,2024-12-04,2024-12-04T19:05:00Z,Departure,1,SCT,AT7
SF,1802,ALG,HME,2024-12-03,2024-12-03T18:15:00Z,Departure,1,OFB,738
AH,3017,IST,ALG,2024-12-03,2024-12-03T18:11:00Z,Arrival,4,ONB,738
AH,6070,ALG,LOO,2024-12-04,2024-12-04T11:10:00Z,Departure,1,BST,AT7
XY,661,JED,ALG,2024-12-04,2024-12-04T16:25:00Z,Arrival,1,SCT,333
AH,1002,ALG,CDG,2024-12-04,2024-12-04T07:15:00Z,Departure,4,SCT,738
AH,6051,BJA,ALG,2024-12-04,2024-12-04T15:35:00Z,Arrival,1,SCT,738
AH,6106,ALG,ORN,2024-12-03,2024-12-03T20:45:00Z,Departure,1,OFB,738
SV,341,JED,ALG,2024-12-04,2024-12-04T13:30:00Z,Arrival,1,SCT,777
AH,6058,ALG,GJL,2024-12-04,2024-12-04T15:45:00Z,Departure,1,SCT,AT7
TO,7315,ALG,SXB,2024-12-04,2024-12-04T10:40:00Z,Departure,4,OFB,738
AH,6184,ALG,ORN,2024-12-03,2024-12-03T21:25:00Z,Departure,1,SCT,AT7
AH,1191,BOD,ALG,2024-12-03,2024-12-03T19:19:00Z,Arrival,4,LAN,738
AH,1214,ALG,CDG,2024-12-05,2024-12-05T13:15:00Z,Departure,4,SCT,73H
SF,1101,HME,ALG,2024-12-03,2024-12-03T16:38:00Z,Arrival,1,ONB,738
AH,6236,ALG,GHA,2024-12-03,2024-12-03T21:30:00Z,Departure,1,SCT,737
TK,656,ALG,IST,2024-12-04,2024-12-04T23:55:00Z,Departure,4,SCT,32R
AH,2055,LHR,ALG,2024-12-03,2024-12-03T17:27:00Z,Arrival,4,ONB,332
AH,6106,ALG,ORN,2024-12-03,2024-12-03T20:45:00Z,Departure,1,OFB,738
AH,1074,ALG,LIL,2024-12-04,2024-12-04T08:00:00Z,Departure,4,BST,738
AH,6107,ORN,ALG,2024-12-04,2024-12-04T07:00:00Z,Arrival,1,SCT,738
AH,4062,ALG,DXB,2024-12-03,2024-12-03T22:05:00Z,Departure,4,OFB,332
VY,7990,ALG,MRS,2024-12-04,2024-12-04T11:20:00Z,Departure,4,SCT,320
VY,7990,ALG,MRS,2024-12-04,2024-12-04T11:20:00Z,Departure,4,SCT,32N
AH,6148,TIN,ALG,2024-12-04,2024-12-04T04:34:00Z,Arrival,1,ONB,736
AH,1036,ALG,LYS,2024-12-04,2024-12-04T09:30:00Z,Departure,4,BST,320
TU,375,ALG,TUN,2024-12-04,2024-12-04T14:40:00Z,Departure,4,SCT,32L
TO,7314,SXB,ALG,2024-12-04,2024-12-04T16:30:00Z,Arrival,4,SCT,73H
AH,1214,ALG,CDG,2024-12-04,2024-12-04T13:15:00Z,Departure,4,SCT,736
LH,1316,FRA,ALG,2024-12-04,2024-12-04T12:20:00Z,Arrival,4,SCT,321
AH,6288,ALG,TMR,2024-12-04,2024-12-04T06:00:00Z,Departure,1,SCT,736
AF,1554,CDG,ALG,2024-12-04,2024-12-04T10:25:00Z,Arrival,4,SCT,320
AH,1008,ALG,ORY,2024-12-04,2024-12-04T18:35:00Z,Departure,4,SCT,738
SF,1684,ALG,GHA,2024-12-04,2024-12-04T12:00:00Z,Departure,1,SCT,DH2
AZ,801,ALG,FCO,2024-12-04,2024-12-04T17:50:00Z,Departure,4,SCT,32N
AH,6033,TEE,ALG,2024-12-04,2024-12-04T19:05:00Z,Arrival,1,SCT,AT7
SV,340,ALG,JED,2024-12-04,2024-12-04T15:30:00Z,Departure,1,SCT,777
AH,2014,ALG,BCN,2024-12-04,2024-12-04T16:45:00Z,Departure,4,SCT,738
AH,1009,ORY,ALG,2024-12-04,2024-12-04T09:50:00Z,Arrival,4,SCT,738
SF,2110,ALG,CZL,2024-12-04,2024-12-04T15:30:00Z,Departure,1,SCT,738
AH,1002,ALG,CDG,2024-12-04,2024-12-04T07:15:00Z,Departure,4,SCT,738
AH,6156,ALG,TMX,2024-12-04,2024-12-04T07:00:00Z,Departure,1,GCL,AT7
BA,2817,ALG,LGW,2024-12-04,2024-12-04T13:55:00Z,Departure,4,SCT,321
AH,3015,IST,ALG,2024-12-04,2024-12-04T03:10:00Z,Arrival,4,SCT,320
SF,1501,HRM,ALG,2024-12-04,2024-12-04T09:30:00Z,Arrival,1,SCT,DH2
AH,6050,ALG,BJA,2024-12-04,2024-12-04T06:25:00Z,Departure,1,SCT,73H
IB,930,ALG,MAD,2024-12-04,2024-12-04T19:05:00Z,Departure,4,SCT,320
AH,6297,AZR,ALG,2024-12-04,2024-12-04T17:40:00Z,Arrival,1,SCT,AT7
AF,1355,ALG,CDG,2024-12-04,2024-12-04T06:05:00Z,Departure,4,OFB,320
AH,6148,TIN,ALG,2024-12-04,2024-12-04T05:00:00Z,Arrival,1,SCT,736
AF,1855,ALG,CDG,2024-12-04,2024-12-04T14:40:00Z,Departure,4,SCT,32A
TK,652,ALG,IST,2024-12-05,2024-12-05T11:40:00Z,Departure,4,SCT,32R
TO,7315,ALG,SXB,2024-12-04,2024-12-04T10:40:00Z,Departure,4,OFB,738
AH,3017,IST,ALG,2024-12-03,2024-12-03T18:11:00Z,Arrival,4,ONB,738
AH,4062,ALG,DXB,2024-12-03,2024-12-03T22:05:00Z,Departure,4,OFB,332
AH,2004,ALG,ALC,2024-12-04,2024-12-04T12:00:00Z,Departure,4,SCT,738
SV,343,ALG,JED,2024-12-03,2024-12-03T23:40:00Z,Departure,1,SCT,777
AH,6117,TLM,ALG,2024-12-04,2024-12-04T15:30:00Z,Arrival,1,SCT,738
AH,6471,GHA,ALG,2024-12-03,2024-12-03T18:20:00Z,Arrival,1,SCT,AT7
AH,6191,CZL,ALG,2024-12-04,2024-12-04T09:47:00Z,Arrival,1,ONB,AT7
MS,845,CAI,ALG,2024-12-04,2024-12-04T13:16:00Z,Arrival,4,DEL,737
AH,1000,ALG,CDG,2024-12-04,2024-12-04T10:35:00Z,Departure,4,OFB,736
AH,6454,ALG,AZR,2024-12-04,2024-12-04T20:00:00Z,Departure,1,SCT,736
AH,1010,ALG,ORY,2024-12-04,2024-12-04T09:30:00Z,Departure,4,BST,738
VF,273,SAW,ALG,2024-12-04,2024-12-04T13:15:00Z,Arrival,4,SCT,738
SF,1854,ALG,TMR,2024-12-04,2024-12-04T08:00:00Z,Departure,1,BST,DH4
AH,2005,ALC,ALG,2024-12-04,2024-12-04T15:00:00Z,Arrival,4,SCT,738
AF,1554,CDG,ALG,2024-12-04,2024-12-04T10:17:00Z,Arrival,4,LAN,320
AH,5641,COO,ALG,2024-12-03,2024-12-03T19:34:00Z,Arrival,0,ONB,738
AH,1172,ALG,MLH,2024-12-04,2024-12-04T11:30:00Z,Departure,4,GCL,738
VY,7990,ALG,MRS,2024-12-04,2024-12-04T11:20:00Z,Departure,4,OFB,320
AH,300,ALG,MED,2024-12-04,2024-12-04T21:20:00Z,Departure,1,SCT,330
SF,1101,HME,ALG,2024-12-03,2024-12-03T16:38:00Z,Arrival,1,ONB,738
AH,2029,VIE,ALG,2024-12-04,2024-12-04T18:50:00Z,Arrival,4,SCT,737
AH,2004,ALG,ALC,2024-12-04,2024-12-04T12:00:00Z,Departure,4,SCT,738
AH,5318,ALG,ABJ,2024-12-04,2024-12-04T20:00:00Z,Departure,4,SCT,738
XY,661,JED,ALG,2024-12-04,2024-12-04T16:25:00Z,Arrival,1,SCT,333
AH,6150,ALG,TIN,2024-12-03,2024-12-03T19:30:00Z,Departure,1,SCT,736
AH,6103,ORN,ALG,2024-12-04,2024-12-04T18:35:00Z,Arrival,1,SCT,AT7
AH,2004,ALG,ALC,2024-12-04,2024-12-04T12:00:00Z,Departure,4,GCL,738
AH,1011,ORY,ALG,2024-12-03,2024-12-03T15:24:00Z,Arrival,4,ONB,738
AH,5324,ALG,NIM,2024-12-04,2024-12-04T20:35:00Z,Departure,4,SCT,736
SF,1803,HME,ALG,2024-12-04,2024-12-04T08:30:00Z,Arrival,1,SCT,738
TU,374,TUN,ALG,2024-12-04,2024-12-04T13:40:00Z,Arrival,4,SCT,32L
AH,5326,ALG,BKO,2024-12-05,2024-12-05T20:30:00Z,Departure,4,SCT,73H
EK,0757,DXB,ALG,2024-12-05,2024-12-05T12:40:00Z,Arrival,4,SCT,77W
AH,6222,ALG,HME,2024-12-04,2024-12-04T19:05:00Z,Departure,1,SCT,AT7
AH,6244,ALG,IAM,2024-12-03,2024-12-03T19:10:00Z,Departure,1,DEL,AT7
SF,3001,CDG,ALG,2024-12-04,2024-12-04T23:15:00Z,Arrival,4,SCT,738
AH,1003,CDG,ALG,2024-12-04,2024-12-04T13:30:00Z,Arrival,4,SCT,738
AH,1000,ALG,CDG,2024-12-04,2024-12-04T10:35:00Z,Departure,4,OFB,736
AH,6196,ALG,CZL,2024-12-04,2024-12-04T11:20:00Z,Departure,1,GCL,AT7
AH,1173,MLH,ALG,2024-12-04,2024-12-04T16:50:00Z,Arrival,4,SCT,738
AH,6171,AAE,ALG,2024-12-04,2024-12-04T10:20:00Z,Arrival,1,SCT,AT7
AF,1655,ALG,CDG,2024-12-03,2024-12-03T19:15:00Z,Departure,4,GCL,223
AH,3019,IST,ALG,2024-12-04,2024-12-04T06:45:00Z,Arrival,4,SCT,332
AH,6222,ALG,HME,2024-12-04,2024-12-04T18:05:00Z,Departure,1,SCT,AT7
AH,6106,ALG,ORN,2024-12-03,2024-12-03T20:45:00Z,Departure,1,GCL,738
SF,1874,ALG,ORN,2024-12-04,2024-12-04T08:30:00Z,Departure,1,SCT,738
TK,653,IST,ALG,2024-12-04,2024-12-04T16:40:00Z,Arrival,4,SCT,78D
AH,1040,ALG,NCE,2024-12-05,2024-12-05T09:00:00Z,Departure,4,SCT,736
AH,6177,AAE,ALG,2024-12-03,2024-12-03T21:25:00Z,Arrival,1,ONB,AT7
AH,1231,CDG,ALG,2024-12-04,2024-12-04T10:03:00Z,Arrival,4,ONB,738
AH,1008,ALG,ORY,2024-12-03,2024-12-03T18:35:00Z,Departure,4,BST,738
SF,1859,TMR,ALG,2024-12-04,2024-12-04T00:41:00Z,Arrival,1,ONB,738
SV,340,ALG,JED,2024-12-04,2024-12-04T15:30:00Z,Departure,1,SCT,773
TO,7261,ALG,ORY,2024-12-04,2024-12-04T17:30:00Z,Departure,4,SCT,73H
AH,3018,ALG,IST,2024-12-03,2024-12-03T22:10:00Z,Departure,4,GCL,332
AH,2700,ALG,YUL,2024-12-04,2024-12-04T10:10:00Z,Departure,4,SCT,332
AH,1008,ALG,ORY,2024-12-03,2024-12-03T18:35:00Z,Departure,4,OFB,738
AH,6026,ALG,CZL,2024-12-04,2024-12-04T19:30:00Z,Departure,1,SCT,738
AH,1230,ALG,CDG,2024-12-04,2024-12-04T18:45:00Z,Departure,4,SCT,738
AH,5322,ALG,OUA,2024-12-04,2024-12-04T20:55:00Z,Departure,4,SCT,736
AH,6161,TMX,ALG,2024-12-04,2024-12-04T03:00:00Z,Arrival,1,SCT,736
AH,6171,AAE,ALG,2024-12-04,2024-12-04T10:00:00Z,Arrival,1,ONB,AT7
AH,2000,ALG,PMI,2024-12-05,2024-12-05T16:15:00Z,Departure,4,SCT,736
SF,1919,HME,ALG,2024-12-04,2024-12-04T09:15:00Z,Arrival,1,SCT,738
AH,6162,ALG,TMX,2024-12-04,2024-12-04T19:50:00Z,Departure,1,SCT,738
AH,6070,ALG,LOO,2024-12-04,2024-12-04T11:10:00Z,Departure,1,SCT,AT7
AH,6103,ORN,ALG,2024-12-04,2024-12-04T18:35:00Z,Arrival,1,SCT,AT7
AF,1854,CDG,ALG,2024-12-04,2024-12-04T13:20:00Z,Arrival,4,SCT,320
AH,6176,ALG,AAE,2024-12-04,2024-12-04T13:30:00Z,Departure,1,OFB,AT7
AH,1215,CDG,ALG,2024-12-04,2024-12-04T19:15:00Z,Arrival,4,SCT,736
AH,6176,ALG,AAE,2024-12-04,2024-12-04T13:00:00Z,Departure,1,BST,AT7
SF,1123,HME,ALG,2024-12-04,2024-12-04T14:40:00Z,Arrival,1,SCT,738
AH,6194,ALG,CZL,2024-12-04,2024-12-04T17:55:00Z,Departure,1,SCT,AT7
AH,3016,ALG,IST,2024-12-04,2024-12-04T09:40:00Z,Departure,4,SCT,738
MS,845,CAI,ALG,2024-12-04,2024-12-04T13:16:00Z,Arrival,4,DEL,737
LH,1316,FRA,ALG,2024-12-04,2024-12-04T12:30:00Z,Arrival,4,ONB,320
AH,6107,ORN,ALG,2024-12-04,2024-12-04T06:47:00Z,Arrival,1,ONB,738
TO,7314,SXB,ALG,2024-12-04,2024-12-04T16:30:00Z,Arrival,4,SCT,73H
AH,6176,ALG,AAE,2024-12-04,2024-12-04T11:30:00Z,Departure,1,SCT,AT7
AH,2015,BCN,ALG,2024-12-04,2024-12-04T20:25:00Z,Arrival,4,SCT,738
AH,1037,LYS,ALG,2024-12-03,2024-12-03T20:40:00Z,Arrival,4,SCT,738
MS,845,CAI,ALG,2024-12-04,2024-12-04T12:45:00Z,Arrival,4,SCT,737
AH,6289,TMR,ALG,2024-12-04,2024-12-04T11:25:00Z,Arrival,1,ONB,736
VY,7397,ALG,ALC,2024-12-03,2024-12-03T19:05:00Z,Departure,4,OFB,320
LH,1317,ALG,FRA,2024-12-04,2024-12-04T14:00:00Z,Departure,4,GCL,320
AH,6192,ALG,CZL,2024-12-03,2024-12-03T20:30:00Z,Departure,1,SCT,AT7
AH,1037,LYS,ALG,2024-12-04,2024-12-04T14:25:00Z,Arrival,4,SCT,320
AH,3001,SVO,ALG,2024-12-04,2024-12-04T07:35:00Z,Arrival,4,SCT,738
TK,652,ALG,IST,2024-12-04,2024-12-04T11:40:00Z,Departure,4,SCT,738
AH,5010,ALG,DSS,2024-12-03,2024-12-03T20:30:00Z,Departure,4,BST,738
AH,6106,ALG,ORN,2024-12-04,2024-12-04T22:30:00Z,Departure,1,SCT,738
AH,6026,ALG,CZL,2024-12-04,2024-12-04T19:30:00Z,Departure,1,SCT,738
5O,271,CDG,ALG,2024-12-04,2024-12-04T16:25:00Z,Arrival,4,SCT,73H
VF,274,ALG,SAW,2024-12-04,2024-12-04T14:25:00Z,Departure,1,SCT,738
AH,1010,ALG,ORY,2024-12-04,2024-12-04T09:10:00Z,Departure,4,SCT,738
TO,7322,MRS,ALG,2024-12-05,2024-12-05T09:25:00Z,Arrival,4,SCT,73H
TK,656,ALG,IST,2024-12-03,2024-12-03T23:55:00Z,Departure,4,SCT,737
V7,2439,ALG,BOD,2024-12-04,2024-12-04T10:10:00Z,Departure,4,BST,320
AH,2070,ALG,FRA,2024-12-04,2024-12-04T10:15:00Z,Departure,4,SCT,736
AH,5011,DSS,ALG,2024-12-04,2024-12-04T06:25:00Z,Arrival,4,SCT,738
AH,6171,AAE,ALG,2024-12-05,2024-12-05T10:10:00Z,Arrival,1,SCT,AT7
AH,6238,GHA,ALG,2024-12-04,2024-12-04T04:15:00Z,Arrival,1,ONB,738
AH,4001,TUN,ALG,2024-12-04,2024-12-04T10:31:00Z,Arrival,4,ONB,737
SF,1802,ALG,HME,2024-12-03,2024-12-03T18:15:00Z,Departure,1,OFB,738
AH,1012,ALG,CDG,2024-12-04,2024-12-04T16:40:00Z,Departure,4,SCT,320
TO,7260,ORY,ALG,2024-12-04,2024-12-04T09:35:00Z,Arrival,4,ONB,738
AH,1231,CDG,ALG,2024-12-04,2024-12-04T10:03:00Z,Arrival,4,ONB,738
AH,4063,DXB,ALG,2024-12-04,2024-12-04T14:30:00Z,Arrival,4,SCT,332
MS,846,ALG,CAI,2024-12-04,2024-12-04T13:45:00Z,Departure,4,SCT,737
AH,1172,ALG,MLH,2024-12-04,2024-12-04T11:30:00Z,Departure,4,SCT,738
AH,6227,HME,ALG,2024-12-04,2024-12-04T11:30:00Z,Arrival,1,ONB,AT7
AH,6196,ALG,CZL,2024-12-04,2024-12-04T11:20:00Z,Departure,1,OFB,AT7
AH,6179,AAE,ALG,2024-12-04,2024-12-04T21:45:00Z,Arrival,1,SCT,AT7
AH,6032,ALG,TEE,2024-12-04,2024-12-04T15:25:00Z,Departure,1,SCT,AT7
TK,654,ALG,IST,2024-12-04,2024-12-04T17:35:00Z,Departure,4,SCT,78D
AH,1214,ALG,CDG,2024-12-04,2024-12-04T13:15:00Z,Departure,4,SCT,736
AH,6148,TIN,ALG,2024-12-04,2024-12-04T05:00:00Z,Arrival,1,SCT,736
QR,1380,ALG,DOH,2024-12-04,2024-12-04T15:45:00Z,Departure,4,SCT,330
AH,3014,ALG,IST,2024-12-03,2024-12-03T19:05:00Z,Departure,4,SCT,320
AH,485,JED,ALG,2024-12-04,2024-12-04T06:13:00Z,Arrival,1,ONB,330
AH,1074,ALG,LIL,2024-12-04,2024-12-04T08:00:00Z,Departure,4,BST,738
AH,1003,CDG,ALG,2024-12-04,2024-12-04T13:40:00Z,Arrival,4,DEL,738
AH,1000,ALG,CDG,2024-12-04,2024-12-04T10:30:00Z,Departure,4,SCT,736
BA,2817,ALG,LGW,2024-12-04,2024-12-04T13:55:00Z,Departure,4,OFB,320
AH,3016,ALG,IST,2024-12-04,2024-12-04T09:40:00Z,Departure,4,SCT,738
AH,1009,ORY,ALG,2024-12-04,2024-12-04T09:50:00Z,Arrival,4,SCT,738
QR,1380,ALG,DOH,2024-12-04,2024-12-04T15:45:00Z,Departure,4,SCT,359
AH,2070,ALG,FRA,2024-12-04,2024-12-04T10:15:00Z,Departure,4,BST,736
TO,7261,ALG,ORY,2024-12-04,2024-12-04T17:30:00Z,Departure,4,SCT,73H
AH,6070,ALG,LOO,2024-12-04,2024-12-04T11:10:00Z,Departure,1,SCT,AT7
AH,6136,ALG,CBH,2024-12-04,2024-12-04T22:15:00Z,Departure,1,SCT,AT7
AH,6471,GHA,ALG,2024-12-03,2024-12-03T18:20:00Z,Arrival,1,ONB,AT7
AH,6292,TMR,ALG,2024-12-04,2024-12-04T06:24:00Z,Arrival,1,ONB,736
AH,6289,TMR,ALG,2024-12-04,2024-12-04T11:55:00Z,Arrival,1,SCT,736
SF,2320,ALG,AZR,2024-12-04,2024-12-04T13:30:00Z,Departure,1,SCT,DH4
