airline,flightnumber,departureairport,arrivalairport,origindate,operationtime,departureorarrival,aircraftterminal,status,aircrafttype,hour,weekday,month,date
AH,1010,ALG,ORY,2024-12-04,2024-12-04 09:10:00+00:00,DEPARTURE,4,SCT,738,9,Wednesday,December,2024-12-04
TK,653,IST,ALG,2024-12-03,2024-12-03 16:00:00+00:00,ARRIVAL,4,ONB,321,16,Tuesday,December,2024-12-03
AH,3001,SVO,ALG,2024-12-04,2024-12-04 07:35:00+00:00,ARRIVAL,4,SCT,738,7,Wednesday,December,2024-12-04
AH,1021,MRS,ALG,2024-12-04,2024-12-04 17:30:00+00:00,ARRIVAL,4,SCT,738,17,Wednesday,December,2024-12-04
AH,6227,HME,ALG,2024-12-04,2024-12-04 23:40:00+00:00,ARRIVAL,1,DEL,AT7,23,Wednesday,December,2024-12-04
SF,3000,ALG,CDG,2024-12-04,2024-12-04 17:00:00+00:00,DEPARTURE,4,SCT,738,17,Wednesday,December,2024-12-04
AH,1036,ALG,LYS,2024-12-04,2024-12-04 10:05:00+00:00,DEPARTURE,4,OFB,320,10,Wednesday,December,2024-12-04
AH,6043,BSK,ALG,2024-12-04,2024-12-04 19:10:00+00:00,ARRIVAL,1,SCT,736,19,Wednesday,December,2024-12-04
AF,1855,ALG,CDG,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,32A,14,Wednesday,December,2024-12-04
AH,1230,ALG,CDG,2024-12-03,2024-12-03 19:00:00+00:00,DEPARTURE,4,OFB,738,19,Tuesday,December,2024-12-03
EK,0758,ALG,DXB,2024-12-04,2024-12-04 15:40:00+00:00,DEPARTURE,4,SCT,77W,15,Wednesday,December,2024-12-04
QR,1379,DOH,ALG,2024-12-04,2024-12-04 13:20:00+00:00,ARRIVAL,4,SCT,330,13,Wednesday,December,2024-12-04
SF,1120,ALG,HME,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,1,SCT,738,9,Wednesday,December,2024-12-04
AF,1354,CDG,ALG,2024-12-04,2024-12-04 23:25:00+00:00,ARRIVAL,4,SCT,32A,23,Wednesday,December,2024-12-04
AH,1036,ALG,LYS,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,4,SCT,320,9,Wednesday,December,2024-12-04
AH,3016,ALG,IST,2024-12-04,2024-12-04 09:40:00+00:00,DEPARTURE,4,SCT,738,9,Wednesday,December,2024-12-04
AH,1191,BOD,ALG,2024-12-03,2024-12-03 19:30:00+00:00,ARRIVAL,4,SCT,738,19,Tuesday,December,2024-12-03
AH,6292,TMR,ALG,2024-12-04,2024-12-04 06:24:00+00:00,ARRIVAL,1,ONB,736,6,Wednesday,December,2024-12-04
VF,274,ALG,SAW,2024-12-04,2024-12-04 14:25:00+00:00,DEPARTURE,4,SCT,738,14,Wednesday,December,2024-12-04
AH,6196,ALG,CZL,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,1,SCT,AT7,11,Wednesday,December,2024-12-04
AH,1037,LYS,ALG,2024-12-04,2024-12-04 14:25:00+00:00,ARRIVAL,4,SCT,320,14,Wednesday,December,2024-12-04
AH,1010,ALG,ORY,2024-12-04,2024-12-04 09:50:00+00:00,DEPARTURE,4,BST,738,9,Wednesday,December,2024-12-04
AH,6070,ALG,LOO,2024-12-04,2024-12-04 11:10:00+00:00,DEPARTURE,1,OFB,AT7,11,Wednesday,December,2024-12-04
AH,1023,MRS,ALG,2024-12-04,2024-12-04 12:48:00+00:00,ARRIVAL,4,ONB,738,12,Wednesday,December,2024-12-04
AH,6238,GHA,ALG,2024-12-04,2024-12-04 04:15:00+00:00,ARRIVAL,1,ONB,738,4,Wednesday,December,2024-12-04
AH,2070,ALG,FRA,2024-12-04,2024-12-04 10:15:00+00:00,DEPARTURE,4,SCT,736,10,Wednesday,December,2024-12-04
MS,846,ALG,CAI,2024-12-04,2024-12-04 13:45:00+00:00,DEPARTURE,4,SCT,321,13,Wednesday,December,2024-12-04
AH,1004,ALG,ORY,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,OFB,330,12,Wednesday,December,2024-12-04
AH,6059,GJL,ALG,2024-12-03,2024-12-03 18:43:00+00:00,ARRIVAL,1,ONB,AT7,18,Tuesday,December,2024-12-03
AH,6226,ALG,HME,2024-12-03,2024-12-03 19:55:00+00:00,DEPARTURE,1,SCT,AT7,19,Tuesday,December,2024-12-03
AH,6106,ALG,ORN,2024-12-03,2024-12-03 20:45:00+00:00,DEPARTURE,1,SCT,738,20,Tuesday,December,2024-12-03
TU,375,ALG,TUN,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,32L,14,Wednesday,December,2024-12-04
AH,6059,GJL,ALG,2024-12-03,2024-12-03 18:43:00+00:00,ARRIVAL,1,ONB,AT7,18,Tuesday,December,2024-12-03
AH,6181,ORN,ALG,2024-12-04,2024-12-04 10:20:00+00:00,ARRIVAL,1,SCT,AT7,10,Wednesday,December,2024-12-04
AH,6148,TIN,ALG,2024-12-04,2024-12-04 05:00:00+00:00,ARRIVAL,1,SCT,736,5,Wednesday,December,2024-12-04
AH,6160,ALG,TMX,2024-12-03,2024-12-03 23:10:00+00:00,DEPARTURE,1,SCT,736,23,Tuesday,December,2024-12-03
AH,6150,CBH,ALG,2024-12-04,2024-12-04 02:00:00+00:00,ARRIVAL,1,SCT,736,2,Wednesday,December,2024-12-04
TO,7314,SXB,ALG,2024-12-04,2024-12-04 16:30:00+00:00,ARRIVAL,4,SCT,73H,16,Wednesday,December,2024-12-04
AH,2004,ALG,ALC,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,738,12,Wednesday,December,2024-12-04
AH,3001,SVO,ALG,2024-12-04,2024-12-04 07:44:00+00:00,ARRIVAL,4,ONB,738,7,Wednesday,December,2024-12-04
BA,2816,LGW,ALG,2024-12-04,2024-12-04 12:33:00+00:00,ARRIVAL,4,SCT,320,12,Wednesday,December,2024-12-04
AH,3018,ALG,IST,2024-12-03,2024-12-03 22:10:00+00:00,DEPARTURE,4,SCT,332,22,Tuesday,December,2024-12-03
AH,1012,ALG,CDG,2024-12-04,2024-12-04 16:40:00+00:00,DEPARTURE,4,SCT,320,16,Wednesday,December,2024-12-04
SF,1703,HME,ALG,2024-12-03,2024-12-03 19:29:00+00:00,ARRIVAL,1,LAN,DH4,19,Tuesday,December,2024-12-03
AF,1854,CDG,ALG,2024-12-04,2024-12-04 13:10:00+00:00,ARRIVAL,4,SCT,32A,13,Wednesday,December,2024-12-04
AH,6289,TMR,ALG,2024-12-04,2024-12-04 11:25:00+00:00,ARRIVAL,1,SCT,736,11,Wednesday,December,2024-12-04
AH,6177,AAE,ALG,2024-12-04,2024-12-04 14:50:00+00:00,ARRIVAL,1,SCT,AT7,14,Wednesday,December,2024-12-04
AF,1854,CDG,ALG,2024-12-04,2024-12-04 13:00:00+00:00,ARRIVAL,4,LAN,32A,13,Wednesday,December,2024-12-04
SF,1854,ALG,TMR,2024-12-04,2024-12-04 08:00:00+00:00,DEPARTURE,1,OFB,DH4,8,Wednesday,December,2024-12-04
AH,1214,ALG,CDG,2024-12-04,2024-12-04 13:15:00+00:00,DEPARTURE,4,SCT,736,13,Wednesday,December,2024-12-04
AH,1004,ALG,ORY,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,330,12,Wednesday,December,2024-12-04
VY,7990,ALG,MRS,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,4,OFB,320,11,Wednesday,December,2024-12-04
AH,6146,ALG,TIN,2024-12-04,2024-12-04 23:55:00+00:00,DEPARTURE,1,SCT,738,23,Wednesday,December,2024-12-04
AH,5641,COO,ALG,2024-12-03,2024-12-03 19:34:00+00:00,ARRIVAL,0,ONB,738,19,Tuesday,December,2024-12-03
AH,6471,GHA,ALG,2024-12-03,2024-12-03 18:20:00+00:00,ARRIVAL,1,SCT,AT7,18,Tuesday,December,2024-12-03
AH,6146,ALG,TIN,2024-12-04,2024-12-04 23:55:00+00:00,DEPARTURE,1,SCT,738,23,Wednesday,December,2024-12-04
AH,6146,ALG,TIN,2024-12-04,2024-12-04 23:55:00+00:00,DEPARTURE,1,SCT,738,23,Wednesday,December,2024-12-04
TK,656,ALG,IST,2024-12-04,2024-12-04 23:55:00+00:00,DEPARTURE,4,SCT,32R,23,Wednesday,December,2024-12-04
SF,1120,ALG,HME,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,1,SCT,738,9,Wednesday,December,2024-12-04
AH,6253,ELU,ALG,2024-12-04,2024-12-04 15:40:00+00:00,ARRIVAL,1,SCT,736,15,Wednesday,December,2024-12-04
AH,4079,DOH,ALG,2024-12-03,2024-12-03 15:27:00+00:00,ARRIVAL,4,ONB,330,15,Tuesday,December,2024-12-03
SF,1908,ALG,HME,2024-12-04,2024-12-04 18:00:00+00:00,DEPARTURE,1,SCT,738,18,Wednesday,December,2024-12-04
TO,7314,SXB,ALG,2024-12-04,2024-12-04 16:30:00+00:00,ARRIVAL,4,SCT,73H,16,Wednesday,December,2024-12-04
AH,6200,ALG,GHA,2024-12-04,2024-12-04 18:45:00+00:00,DEPARTURE,1,SCT,AT7,18,Wednesday,December,2024-12-04
AH,1008,ALG,ORY,2024-12-04,2024-12-04 18:35:00+00:00,DEPARTURE,4,SCT,738,18,Wednesday,December,2024-12-04
AH,6222,ALG,HME,2024-12-04,2024-12-04 19:05:00+00:00,DEPARTURE,1,SCT,AT7,19,Wednesday,December,2024-12-04
SF,1802,ALG,HME,2024-12-03,2024-12-03 18:15:00+00:00,DEPARTURE,1,OFB,738,18,Tuesday,December,2024-12-03
AH,3017,IST,ALG,2024-12-03,2024-12-03 18:11:00+00:00,ARRIVAL,4,ONB,738,18,Tuesday,December,2024-12-03
AH,6070,ALG,LOO,2024-12-04,2024-12-04 11:10:00+00:00,DEPARTURE,1,BST,AT7,11,Wednesday,December,2024-12-04
XY,661,JED,ALG,2024-12-04,2024-12-04 16:25:00+00:00,ARRIVAL,1,SCT,333,16,Wednesday,December,2024-12-04
AH,1002,ALG,CDG,2024-12-04,2024-12-04 07:15:00+00:00,DEPARTURE,4,SCT,738,7,Wednesday,December,2024-12-04
AH,6051,BJA,ALG,2024-12-04,2024-12-04 15:35:00+00:00,ARRIVAL,1,SCT,738,15,Wednesday,December,2024-12-04
AH,6106,ALG,ORN,2024-12-03,2024-12-03 20:45:00+00:00,DEPARTURE,1,OFB,738,20,Tuesday,December,2024-12-03
SV,341,JED,ALG,2024-12-04,2024-12-04 13:30:00+00:00,ARRIVAL,1,SCT,777,13,Wednesday,December,2024-12-04
AH,6058,ALG,GJL,2024-12-04,2024-12-04 15:45:00+00:00,DEPARTURE,1,SCT,AT7,15,Wednesday,December,2024-12-04
TO,7315,ALG,SXB,2024-12-04,2024-12-04 10:40:00+00:00,DEPARTURE,4,OFB,738,10,Wednesday,December,2024-12-04
AH,6184,ALG,ORN,2024-12-03,2024-12-03 21:25:00+00:00,DEPARTURE,1,SCT,AT7,21,Tuesday,December,2024-12-03
AH,1191,BOD,ALG,2024-12-03,2024-12-03 19:19:00+00:00,ARRIVAL,4,LAN,738,19,Tuesday,December,2024-12-03
AH,1214,ALG,CDG,2024-12-05,2024-12-05 13:15:00+00:00,DEPARTURE,4,SCT,73H,13,Thursday,December,2024-12-05
SF,1101,HME,ALG,2024-12-03,2024-12-03 16:38:00+00:00,ARRIVAL,1,ONB,738,16,Tuesday,December,2024-12-03
AH,6236,ALG,GHA,2024-12-03,2024-12-03 21:30:00+00:00,DEPARTURE,1,SCT,737,21,Tuesday,December,2024-12-03
TK,656,ALG,IST,2024-12-04,2024-12-04 23:55:00+00:00,DEPARTURE,4,SCT,32R,23,Wednesday,December,2024-12-04
AH,2055,LHR,ALG,2024-12-03,2024-12-03 17:27:00+00:00,ARRIVAL,4,ONB,332,17,Tuesday,December,2024-12-03
AH,6106,ALG,ORN,2024-12-03,2024-12-03 20:45:00+00:00,DEPARTURE,1,OFB,738,20,Tuesday,December,2024-12-03
AH,1074,ALG,LIL,2024-12-04,2024-12-04 08:00:00+00:00,DEPARTURE,4,BST,738,8,Wednesday,December,2024-12-04
AH,6107,ORN,ALG,2024-12-04,2024-12-04 07:00:00+00:00,ARRIVAL,1,SCT,738,7,Wednesday,December,2024-12-04
AH,4062,ALG,DXB,2024-12-03,2024-12-03 22:05:00+00:00,DEPARTURE,4,OFB,332,22,Tuesday,December,2024-12-03
VY,7990,ALG,MRS,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,4,SCT,320,11,Wednesday,December,2024-12-04
VY,7990,ALG,MRS,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,4,SCT,32N,11,Wednesday,December,2024-12-04
AH,6148,TIN,ALG,2024-12-04,2024-12-04 04:34:00+00:00,ARRIVAL,1,ONB,736,4,Wednesday,December,2024-12-04
AH,1036,ALG,LYS,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,4,BST,320,9,Wednesday,December,2024-12-04
TU,375,ALG,TUN,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,32L,14,Wednesday,December,2024-12-04
TO,7314,SXB,ALG,2024-12-04,2024-12-04 16:30:00+00:00,ARRIVAL,4,SCT,73H,16,Wednesday,December,2024-12-04
AH,1214,ALG,CDG,2024-12-04,2024-12-04 13:15:00+00:00,DEPARTURE,4,SCT,736,13,Wednesday,December,2024-12-04
LH,1316,FRA,ALG,2024-12-04,2024-12-04 12:20:00+00:00,ARRIVAL,4,SCT,321,12,Wednesday,December,2024-12-04
AH,6288,ALG,TMR,2024-12-04,2024-12-04 06:00:00+00:00,DEPARTURE,1,SCT,736,6,Wednesday,December,2024-12-04
AF,1554,CDG,ALG,2024-12-04,2024-12-04 10:25:00+00:00,ARRIVAL,4,SCT,320,10,Wednesday,December,2024-12-04
AH,1008,ALG,ORY,2024-12-04,2024-12-04 18:35:00+00:00,DEPARTURE,4,SCT,738,18,Wednesday,December,2024-12-04
SF,1684,ALG,GHA,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,1,SCT,DH2,12,Wednesday,December,2024-12-04
AZ,801,ALG,FCO,2024-12-04,2024-12-04 17:50:00+00:00,DEPARTURE,4,SCT,32N,17,Wednesday,December,2024-12-04
AH,6033,TEE,ALG,2024-12-04,2024-12-04 19:05:00+00:00,ARRIVAL,1,SCT,AT7,19,Wednesday,December,2024-12-04
SV,340,ALG,JED,2024-12-04,2024-12-04 15:30:00+00:00,DEPARTURE,1,SCT,777,15,Wednesday,December,2024-12-04
AH,2014,ALG,BCN,2024-12-04,2024-12-04 16:45:00+00:00,DEPARTURE,4,SCT,738,16,Wednesday,December,2024-12-04
AH,1009,ORY,ALG,2024-12-04,2024-12-04 09:50:00+00:00,ARRIVAL,4,SCT,738,9,Wednesday,December,2024-12-04
SF,2110,ALG,CZL,2024-12-04,2024-12-04 15:30:00+00:00,DEPARTURE,1,SCT,738,15,Wednesday,December,2024-12-04
AH,1002,ALG,CDG,2024-12-04,2024-12-04 07:15:00+00:00,DEPARTURE,4,SCT,738,7,Wednesday,December,2024-12-04
AH,6156,ALG,TMX,2024-12-04,2024-12-04 07:00:00+00:00,DEPARTURE,1,GCL,AT7,7,Wednesday,December,2024-12-04
BA,2817,ALG,LGW,2024-12-04,2024-12-04 13:55:00+00:00,DEPARTURE,4,SCT,321,13,Wednesday,December,2024-12-04
AH,3015,IST,ALG,2024-12-04,2024-12-04 03:10:00+00:00,ARRIVAL,4,SCT,320,3,Wednesday,December,2024-12-04
SF,1501,HRM,ALG,2024-12-04,2024-12-04 09:30:00+00:00,ARRIVAL,1,SCT,DH2,9,Wednesday,December,2024-12-04
AH,6050,ALG,BJA,2024-12-04,2024-12-04 06:25:00+00:00,DEPARTURE,1,SCT,73H,6,Wednesday,December,2024-12-04
IB,930,ALG,MAD,2024-12-04,2024-12-04 19:05:00+00:00,DEPARTURE,4,SCT,320,19,Wednesday,December,2024-12-04
AH,6297,AZR,ALG,2024-12-04,2024-12-04 17:40:00+00:00,ARRIVAL,1,SCT,AT7,17,Wednesday,December,2024-12-04
AF,1355,ALG,CDG,2024-12-04,2024-12-04 06:05:00+00:00,DEPARTURE,4,OFB,320,6,Wednesday,December,2024-12-04
AH,6148,TIN,ALG,2024-12-04,2024-12-04 05:00:00+00:00,ARRIVAL,1,SCT,736,5,Wednesday,December,2024-12-04
AF,1855,ALG,CDG,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,32A,14,Wednesday,December,2024-12-04
TK,652,ALG,IST,2024-12-05,2024-12-05 11:40:00+00:00,DEPARTURE,4,SCT,32R,11,Thursday,December,2024-12-05
TO,7315,ALG,SXB,2024-12-04,2024-12-04 10:40:00+00:00,DEPARTURE,4,OFB,738,10,Wednesday,December,2024-12-04
AH,3017,IST,ALG,2024-12-03,2024-12-03 18:11:00+00:00,ARRIVAL,4,ONB,738,18,Tuesday,December,2024-12-03
AH,4062,ALG,DXB,2024-12-03,2024-12-03 22:05:00+00:00,DEPARTURE,4,OFB,332,22,Tuesday,December,2024-12-03
AH,2004,ALG,ALC,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,738,12,Wednesday,December,2024-12-04
SV,343,ALG,JED,2024-12-03,2024-12-03 23:40:00+00:00,DEPARTURE,1,SCT,777,23,Tuesday,December,2024-12-03
AH,6117,TLM,ALG,2024-12-04,2024-12-04 15:30:00+00:00,ARRIVAL,1,SCT,738,15,Wednesday,December,2024-12-04
AH,6471,GHA,ALG,2024-12-03,2024-12-03 18:20:00+00:00,ARRIVAL,1,SCT,AT7,18,Tuesday,December,2024-12-03
AH,6191,CZL,ALG,2024-12-04,2024-12-04 09:47:00+00:00,ARRIVAL,1,ONB,AT7,9,Wednesday,December,2024-12-04
MS,845,CAI,ALG,2024-12-04,2024-12-04 13:16:00+00:00,ARRIVAL,4,DEL,737,13,Wednesday,December,2024-12-04
AH,1000,ALG,CDG,2024-12-04,2024-12-04 10:35:00+00:00,DEPARTURE,4,OFB,736,10,Wednesday,December,2024-12-04
AH,6454,ALG,AZR,2024-12-04,2024-12-04 20:00:00+00:00,DEPARTURE,1,SCT,736,20,Wednesday,December,2024-12-04
AH,1010,ALG,ORY,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,4,BST,738,9,Wednesday,December,2024-12-04
VF,273,SAW,ALG,2024-12-04,2024-12-04 13:15:00+00:00,ARRIVAL,4,SCT,738,13,Wednesday,December,2024-12-04
SF,1854,ALG,TMR,2024-12-04,2024-12-04 08:00:00+00:00,DEPARTURE,1,BST,DH4,8,Wednesday,December,2024-12-04
AH,2005,ALC,ALG,2024-12-04,2024-12-04 15:00:00+00:00,ARRIVAL,4,SCT,738,15,Wednesday,December,2024-12-04
AF,1554,CDG,ALG,2024-12-04,2024-12-04 10:17:00+00:00,ARRIVAL,4,LAN,320,10,Wednesday,December,2024-12-04
AH,5641,COO,ALG,2024-12-03,2024-12-03 19:34:00+00:00,ARRIVAL,0,ONB,738,19,Tuesday,December,2024-12-03
AH,1172,ALG,MLH,2024-12-04,2024-12-04 11:30:00+00:00,DEPARTURE,4,GCL,738,11,Wednesday,December,2024-12-04
VY,7990,ALG,MRS,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,4,OFB,320,11,Wednesday,December,2024-12-04
AH,300,ALG,MED,2024-12-04,2024-12-04 21:20:00+00:00,DEPARTURE,1,SCT,330,21,Wednesday,December,2024-12-04
SF,1101,HME,ALG,2024-12-03,2024-12-03 16:38:00+00:00,ARRIVAL,1,ONB,738,16,Tuesday,December,2024-12-03
AH,2029,VIE,ALG,2024-12-04,2024-12-04 18:50:00+00:00,ARRIVAL,4,SCT,737,18,Wednesday,December,2024-12-04
AH,2004,ALG,ALC,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,738,12,Wednesday,December,2024-12-04
AH,5318,ALG,ABJ,2024-12-04,2024-12-04 20:00:00+00:00,DEPARTURE,4,SCT,738,20,Wednesday,December,2024-12-04
XY,661,JED,ALG,2024-12-04,2024-12-04 16:25:00+00:00,ARRIVAL,1,SCT,333,16,Wednesday,December,2024-12-04
AH,6150,ALG,TIN,2024-12-03,2024-12-03 19:30:00+00:00,DEPARTURE,1,SCT,736,19,Tuesday,December,2024-12-03
AH,6103,ORN,ALG,2024-12-04,2024-12-04 18:35:00+00:00,ARRIVAL,1,SCT,AT7,18,Wednesday,December,2024-12-04
AH,2004,ALG,ALC,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,GCL,738,12,Wednesday,December,2024-12-04
AH,1011,ORY,ALG,2024-12-03,2024-12-03 15:24:00+00:00,ARRIVAL,4,ONB,738,15,Tuesday,December,2024-12-03
AH,5324,ALG,NIM,2024-12-04,2024-12-04 20:35:00+00:00,DEPARTURE,4,SCT,736,20,Wednesday,December,2024-12-04
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:30:00+00:00,ARRIVAL,1,SCT,738,8,Wednesday,December,2024-12-04
TU,374,TUN,ALG,2024-12-04,2024-12-04 13:40:00+00:00,ARRIVAL,4,SCT,32L,13,Wednesday,December,2024-12-04
AH,5326,ALG,BKO,2024-12-05,2024-12-05 20:30:00+00:00,DEPARTURE,4,SCT,73H,20,Thursday,December,2024-12-05
EK,0757,DXB,ALG,2024-12-05,2024-12-05 12:40:00+00:00,ARRIVAL,4,SCT,77W,12,Thursday,December,2024-12-05
AH,6222,ALG,HME,2024-12-04,2024-12-04 19:05:00+00:00,DEPARTURE,1,SCT,AT7,19,Wednesday,December,2024-12-04
AH,6244,ALG,IAM,2024-12-03,2024-12-03 19:10:00+00:00,DEPARTURE,1,DEL,AT7,19,Tuesday,December,2024-12-03
SF,3001,CDG,ALG,2024-12-04,2024-12-04 23:15:00+00:00,ARRIVAL,4,SCT,738,23,Wednesday,December,2024-12-04
AH,1003,CDG,ALG,2024-12-04,2024-12-04 13:30:00+00:00,ARRIVAL,4,SCT,738,13,Wednesday,December,2024-12-04
AH,1000,ALG,CDG,2024-12-04,2024-12-04 10:35:00+00:00,DEPARTURE,4,OFB,736,10,Wednesday,December,2024-12-04
AH,6196,ALG,CZL,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,1,GCL,AT7,11,Wednesday,December,2024-12-04
AH,1173,MLH,ALG,2024-12-04,2024-12-04 16:50:00+00:00,ARRIVAL,4,SCT,738,16,Wednesday,December,2024-12-04
AH,6171,AAE,ALG,2024-12-04,2024-12-04 10:20:00+00:00,ARRIVAL,1,SCT,AT7,10,Wednesday,December,2024-12-04
AF,1655,ALG,CDG,2024-12-03,2024-12-03 19:15:00+00:00,DEPARTURE,4,GCL,223,19,Tuesday,December,2024-12-03
AH,3019,IST,ALG,2024-12-04,2024-12-04 06:45:00+00:00,ARRIVAL,4,SCT,332,6,Wednesday,December,2024-12-04
AH,6222,ALG,HME,2024-12-04,2024-12-04 18:05:00+00:00,DEPARTURE,1,SCT,AT7,18,Wednesday,December,2024-12-04
